Username,Password
kaizzcer,SaveLife
apollo_hospitals_greams_road,apollo001
kauvery_hospital_alwarpet,kauvery002
miot_international,miot003
fortis_malar,fortis004
sims_vadapalani,sims005
srmc_porur,srmc006
vijaya_hospital_vadapalani,vijaya007
gleneagles_global_perumbakkam,gleneagles008
ganga_hospital,ganga009
kovai_medical_center,kovai010
gknm_hospital,gknm011
psg_hospitals,psg012
karpagam_hospital,karpagam013
velammal_medical_college_hospital,velammal014
meenakshi_mission_hospital,meenakshi015
aravind_eye_hospital,aravind016
apollo_specialty_madurai,apollo017
apollo_hospitals_trichy,apollo018
kmc_trichy,kmc019
bharath_hospital_trichy,bharath020
abc_multispeciality_hospital,abc021
manipal_hospital_salem,manipal022
kauvery_hospital_salem,kauvery023
sugam_hospital,sugam024
shifa_hospital,shifa025
apollo_speciality_hospital_tirunelveli,apollo026
annai_velankanni_hospital,annai027
thanjavur_medical_college_hospital,thanjavur028
apollo_hospitals_thanjavur,apollo029
tmch_heart_institute,tmch030
kovai_medical_center_erode,kovai031
sri_kumaran_hospital,srikumaran032
perundurai_govt_medical_college,perundurai033
cmc_vellore,cmc034
apollo_kh_hospital,apollo035
sri_narayani_hospital,srinarayani036
sankara_hospital,sankara037
sri_kumaran_hospital_tuticorin,srikumaran038
apollo_hospitals_tuticorin,apollo039
kmc_karur,kmc040
santhi_hospital,santhi041
bharani_multispeciality,bharani042
vasan_eye_care_dindigul,vasan043
govt_medical_college_hospital_dindigul,govt044
green_city_multispeciality,green045
kims_kanyakumari,kims046
sree_ramakrishna_hospital,sreeram047
st_lukes_mission_hospital,stlukes048
abirami_hospital,abirami049
dr_jeyasekharan_hospital,drjeya050
kims_nagercoil,kims051
gh_villupuram,gh052
durai_multispeciality_hospital,durai053
k_k_multispeciality,k_k054
arunai_medical_college_hospital,arunai055
apollo_hospitals_tiruvannamalai,apollo056
sivam_hospital,sivam057
gh_cuddalore,gh058
jayam_multispeciality,jayam059
sri_venkateshwara_medicals,srivenkateshwara060
gh_nagapattinam,gh061
velayudham_hospital,velayudham062
lotus_multispeciality,lotus063
anbu_hospital_pudukkottai,anbu064
government_medical_college_pudukkottai,gmc065
bharath_hospital_pudukkottai,bharath066
gh_ramanathapuram,gh067
chandran_hospital,chandran068
arasan_hospital,arasan069
sri_renga_hospital,srirenga070
govt_hospital_perambalur,govt071
abc_clinic_perambalur,abc072
